POPNUM12,NUMIND12,STAGE01,STAGE02,STAGE03,STAGE04,STAGE05,STAGE06,STAGE07,STAGE08,STAGE09,STAGE010,STAGE011,STAGE012
231,429,a,a,a,a,a,a,a,a,a,m,,
231,430,a,a,a,a,a,a,a,a,a,a,m,
231,435,a,a,m,,,,,,,,,
231,436,j,m,,,,,,,,,,
231,437,j,m,,,,,,,,,,
231,514,,,,,p,j,j,j,j,j,j,j
231,515,,,,,p,j,j,m,,,,
231,516,,,,,p,j,j,m,,,,
231,517,,,,,p,p,m,,,,,
231,518,,,,,p,p,p,m,,,,
231,519,,,,,p,p,p,m,,,,
231,520,,,,,p,p,p,m,,,,
231,521,,,,,p,j,a,m,,,,
231,522,,,,,p,p,p,j,j,j,m,
231,523,,,,,p,p,p,j,a,a,m,
231,524,,,,,,j,j,j,m,,,
231,525,,,,,,p,p,j,j,a,,
231,526,,,,,,p,p,p,j,j,j,j
231,527,,,,,,p,m,,,,,
231,528,,,,,,j,j,m,,,,
231,529,,,,,,j,j,m,,,,
231,530,,,,,p,j,j,m,,,,
231,531,,,,,p,j,j,m,,,,
231,532,,,,,p,j,j,m,,,,
231,533,,,,,p,a,a,a,a,m,,
231,534,,,,,p,p,j,j,a,a,a,a
231,535,,,,,p,m,,,,,,
231,536,,,,,p,j,j,j,j,m,,
231,699,,,,,,,,,a,a,a,a
231,700,,,,,,,,,j,m,,
231,701,,,,,,,,,a,a,m,
231,702,,,,,,,,,a,a,a,a
231,703,,,,,,,,,a,a,m,
231,704,,,,,,,,,a,a,m,
231,705,,,,,,,,,a,a,m,
231,706,,,,,,,,,a,a,m,
231,708,,,,,,,,,j,j,j,j
231,709,,,,,,,,,a,a,a,a
231,710,,,,,,,,,j,j,m,
231,711,,,,,,,,,j,m,,
231,712,,,,,,,,,j,j,m,
231,713,,,,,,,,,p,p,m,
231,714,,,,,,,,,a,a,m,
231,715,,,,,,,,,j,j,j,j
231,716,,,,,,,,,j,j,j,m
231,717,,,,,,,,,j,j,m,
231,718,,,,,,,,,j,j,j,j
231,719,,,,,,,,,j,j,m,
231,720,,,,,,,,,j,j,m,
231,721,,,,,,,,,j,j,m,
231,722,,,,,,,,,j,j,m,
231,724,,,,,,,,,j,m,,
231,725,,,,,,,,,j,m,,
231,978,,,,,,,,,,,a,a
231,979,,,,,,,,,,,j,j
231,980,,,,,,,,,,,j,j
231,981,,,,,,,,,,,a,a
231,982,,,,,,,,,,,j,j
231,983,,,,,,,,,,,j,j
231,984,,,,,,,,,,,a,a
231,985,,,,,,,,,,,a,a
231,986,,,,,,,,,,,j,j
231,987,,,,,,,,,,,j,a
231,1116,,,,,,,,,,,,j
231,1117,,,,,,,,,,,,p
231,1118,,,,,,,,,,,,j
231,1119,,,,,,,,,,,,j
231,1120,,,,,,,,,,,,j
231,1121,,,,,,,,,,,,j
231,1127,,,,,,,,,,,,a
231,1128,,,,,,,,,,,,j
231,1129,,,,,,,,,,,,j
231,1130,,,,,,,,,,,,j
231,1131,,,,,,,,,,,,j
231,1132,,,,,,,,,,,,j
231,1133,,,,,,,,,,,,j
231,,,,,,,,,,,,,
234,111,p,j,j,j,j,j,j,j,j,j,j,j
234,112,p,j,j,j,j,j,j,j,j,m,,
234,113,p,p,p,p,p,j,j,j,j,j,j,j
234,114,p,p,p,p,p,m,,,,,,
234,115,p,p,p,p,p,m,,,,,,
234,453,,,,,,,,j,m,,,
234,454,a,a,a,a,a,a,a,a,m,,,
234,455,p,a,a,a,a,m,,,,,,
234,456,,j,j,m,,,,,,,,
234,457,a,a,a,a,a,a,a,a,a,m,,
234,458,a,a,a,a,a,a,a,a,a,m,,
234,459,a,a,a,a,a,a,a,a,a,a,a,a
234,460,a,a,a,a,a,a,a,a,m,,,
234,461,a,a,a,a,a,a,a,a,m,,,
234,537,,,,,j,j,j,j,j,m,,
234,538,,,,,p,m,,,,,,
234,539,,,,,p,m,,,,,,
234,540,,,,,p,j,j,j,j,m,,
234,541,,,,,a,m,,,,,,
234,542,,,,,p,p,p,j,m,,,
234,543,,,,,p,p,p,p,j,j,j,j
234,544,,,,,p,m,,,,,,
234,545,,,,,p,p,p,j,j,j,j,j
234,546,,,,,p,p,p,m,,,,
234,547,,,,,p,p,p,j,j,m,,
234,548,,,,,p,p,p,m,,,,
234,549,,,,,p,p,p,j,j,j,j,
234,550,,,,,p,p,p,j,j,j,m,
234,551,,,,,p,m,,,,,,
234,552,,,,,p,p,p,p,j,,,
234,553,,,,,j,j,j,j,a,m,,
234,554,,,,,j,j,j,j,j,m,,
234,555,,,,,j,m,,,,,,
234,556,,,,,j,m,,,,,,
234,557,,,,,p,m,,,,,,
234,558,,,,,p,m,,,,,,
234,559,,,,,p,m,,,,,,
234,637,,,,,,,,j,j,j,j,j
234,638,,,,,,,,j,j,j,j,p
234,639,,,,,,,,,j,m,,
234,640,,,,,,,,,m,,,
234,726,,,,,,,,,j,a,a,a
234,989,,,,,,,,,,,j,j
234,990,,,,,,,,,,,j,j
234,991,,,,,,,,,,,j,j
234,1135,,,,,,,,,,,,j
234,1136,,,,,,,,,,,,a
234,1137,,,,,,,,,,,,j
234,1138,,,,,,,,,,,,a
235,116,,a,a,a,a,a,a,a,a,a,a,m
235,117,,a,a,a,a,a,a,a,a,m,,
235,134,a,a,a,a,a,a,a,a,a,a,a,j
235,135,a,a,a,a,a,a,a,a,a,a,a,j
235,136,a,a,a,a,a,a,a,a,a,a,a,j
235,137,a,a,a,a,a,m,,,,,,
235,138,j,j,j,j,j,j,j,j,j,j,j,j
235,139,a,a,a,a,a,a,a,a,a,a,a,j
235,140,,,j,j,j,a,a,a,m,,,
235,141,a,a,a,a,a,a,a,a,a,m,,
235,142,a,a,a,a,a,a,a,a,a,,,
235,143,a,a,a,a,a,a,a,a,m,,,
235,388,,,a,a,a,a,a,a,a,a,a,a
235,389,,,,a,a,a,a,a,a,a,a,a
235,441,a,a,a,a,a,a,a,a,m,,,
235,560,,,,,j,j,m,,,,,
235,561,,,,,a,a,a,a,a,a,a,a
235,727,,,,,,,,,j,m,,
235,728,,,,,,,,,a,a,a,a
235,729,,,,,,,,,a,a,a,m
235,992,,,,,,,,,,,j,m
235,993,,,,,,,,,,,j,j
243,118,,,j,a,a,a,a,a,a,a,a,a
243,119,,p,j,j,j,a,m,,,,,
243,120,,j,j,j,j,j,j,a,a,a,m,
243,140,a,a,a,a,m,,,,,,,m
243,144,a,a,a,a,a,a,a,a,a,m,,
243,145,a,a,a,a,a,a,a,a,a,a,a,m
243,146,a,a,a,a,a,a,a,a,a,a,a,m
243,147,a,a,a,a,a,a,a,a,a,a,a,j
243,148,a,a,a,a,a,a,a,a,a,a,a,j
243,149,a,a,a,a,a,a,a,a,a,a,a,m
243,150,a,a,a,a,a,a,a,m,,,,
243,151,a,a,a,a,a,a,a,a,a,a,a,a
243,152,a,a,a,a,a,a,a,a,a,a,a,a
243,153,j,j,j,j,j,j,j,j,j,j,j,m
243,154,a,a,a,a,a,a,a,a,a,a,a,m
243,155,a,a,a,a,a,a,a,a,a,a,a,a
243,156,a,a,a,a,a,a,a,a,a,a,a,a
243,157,a,a,a,a,a,a,a,a,a,a,a,m
